Country;Continent;LA;FA
Afghanistan;Asia;65223;1350
Albania;Europe;2740;772
Algeria;Africa;238174;1956
American Samoa;Australia;20;18
Andorra;Europe;47;16
Angola;Africa;124670;57856
Anguilla;America;9;6
Antigua and Barbuda;America;44;10
Argentina;America;273669;27112
Armenia;Europe;2820;332
Aruba;America;18;0
Australia;Australia;768230;124751
Austria;Europe;8244;3869
Azerbaijan;Asia;8266;1139
Bahamas;America;1001;515
Bahrain;Asia;76;1
Bangladesh;Asia;13017;1429
Barbados;America;43;6
Belarus;Europe;20748;8634
Belgium;Europe;3028;683
Belize;America;2281;1366
Benin;Africa;11062;4311
Bermuda;America;5;1
Bhutan;Asia;3812;2755
Bolivia;America;108330;54764
Bosnia and Herzegovina;Europe;5100;2185
Botswana;Africa;56673;10840
Brazil;America;835814;493538
British Virgin Islands;America;15;4
Brunei Darussalam;Asia;527;380
Bulgaria;Europe;10856;3823
Burkina Faso;Africa;27360;5350
Burundi;Africa;2568;276
Cabo Verde;Africa;403;90
Cambodia;Asia;17652;9457
Cameroon;Africa;47271;18816
Canada;America;909351;347069
Cayman Islands;America;24;13
Central African Republic;Africa;62298;22170
Chad;Africa;125920;4875
Chile;America;74353;17735
China;Asia;942530;208321
Colombia;America;110950;58502
Comoros;Africa;186;37
Congo;Africa;34150;22334
Cook Islands;Australia;24;15
Costa Rica;America;5106;2756
Côte d'Ivoire;Africa;31800;10401
Croatia;Europe;5596;1922
Cuba;America;10644;3200
Cyprus;Asia;924;173
Czech Republic;Europe;7722;2667
Denmark;Europe;4243;612
Djibouti;Africa;2318;6
Dominica;America;75;43
Dominican Republic;America;4832;1983
DPR of Korea;Asia;12041;5031
DR of the Congo;Africa;226705;152578
Ecuador;America;24836;12548
Egypt;Africa;99545;73
El Salvador;America;2072;265
Equatorial Guinea;Africa;2805;1568
Eritrea;Africa;10100;1510
Estonia;Europe;4239;2232
Ethiopia;Africa;109631;12499
Falkland Islands;America;1217;0
Faroe Islands;Europe;139;NA
Fiji;Australia;1827;1017
Finland;Europe;30390;22218
France;Europe;54766;16989
French Guiana;America;8242;8130
French Polynesia;Australia;366;155
Gabon;Africa;25767;23000
Gambia;Africa;1000;488
Georgia;Asia;6949;2822
Germany;Europe;34861;11419
Ghana;Africa;22754;9337
Gibraltar;Europe;1;NA
Greece;Europe;12890;4054
Greenland;America;41045;0
Grenada;America;34;17
Guadeloupe;America;168;71
Guam;Australia;54;25
Guatemala;America;10716;3540
Guernsey;Europe;8;0
Guinea;Africa;24572;6364
Guinea-Bissau;Africa;2812;1972
Guyana;America;19685;16526
Haiti;America;2756;97
Honduras;America;11189;4592
Hungary;Europe;9127;2069
Iceland;Europe;10025;49
India;Asia;297319;70682
Indonesia;Asia;171857;91010
Iran;Asia;184806;10692
Iraq;Asia;43432;825
Ireland;Europe;6889;754
Isle of Man;Europe;57;3
Israel;Asia;2164;165
Italy;Europe;29414;9297
Jamaica;America;1083;335
Japan;Asia;36450;24958
Jersey;Europe;12;1
Jordan;Asia;8878;98
Kazakhstan;Asia;269970;3309
Kenya;Africa;56914;4413
Kiribati;Australia;81;12
Kuwait;Asia;1782;6
Kyrgyzstan;Asia;19116;637
Laos;Asia;23080;18761
Latvia;Europe;6220;3356
Lebanon;Asia;1023;137
Lesotho;Africa;3035;49
Liberia;Africa;9632;4179
Libya;Africa;175954;217
Liechtenstein;Europe;16;7
Lithuania;Europe;6268;2180
Luxembourg;Europe;259;87
Macedonia;Europe;2522;998
Madagascar;Africa;58154;12473
Malawi;Africa;9428;3147
Malaysia;Asia;32855;22195
Maldives;Australia;30;1
Mali;Africa;122019;4715
Malta;Europe;32;NA
Marshall Islands;Australia;18;13
Martinique;America;106;49
Mauritania;Africa;103070;225
Mauritius;Africa;201;39
Mayotte;Africa;38;6
Mexico;America;194395;66040
Micronesia;Australia;70;64
Mongolia;Asia;155356;12553
Montenegro;Europe;1345;827
Montserrat;America;10;3
Morocco;Africa;44630;5632
Mozambique;Africa;78638;37940
Myanmar;Asia;65755;29041
Namibia;Africa;82329;6919
Nauru;Australia;2;0
Nepal;Asia;14335;3636
Netherlands;Europe;3375;376
Netherlands Antilles;America;80;1
New Caledonia;Australia;1828;839
New Zealand;Australia;26331;10152
Nicaragua;America;12034;3114
Niger;Africa;126670;1142
Nigeria;Africa;91077;6993
Niue;Australia;26;18
Norfolk Island;Australia;4;0
Northern Mariana Islands;Australia;46;29
Norway;Europe;30427;12112
Occupied Palestinian Territory;Asia;602;9
Oman;Asia;30950;2
Pakistan;Asia;77088;1472
Palau;Australia;46;40
Panama;America;7434;4617
Papua New Guinea;Australia;46312;33559
Paraguay;America;39730;15323
Peru;America;128000;73973
Philippines;Asia;29817;8040
Pitcairn;Australia;5;4
Poland;Europe;30622;9435
Portugal;Europe;9026;3182
Puerto Rico;America;856;496
Qatar;Asia;1100;0
Republic of Korea;Asia;9710;6184
Republic of Moldova;Europe;3285;409
Reunion;Africa;250;88
Romania;Europe;23002;6861
Russian Federation;Asia;1637687;814931
Rwanda;Africa;2467;480
Saint Helena, Ascension and Tristan da Cunha;Africa;39;2
Saint Kitts and Nevis;America;26;11
Saint Lucia;America;61;20
Saint Martin (French part);America;5;1
Saint Pierre and Miquelon;America;23;3
Saint Vincent and the Grenadines;America;39;27
Saint-Barthélemy;America;2;0
Samoa;Australia;283;171
San Marino;Europe;6;0
Sao Tome and Principe;Africa;96;54
Saudi Arabia;Asia;214969;977
Senegal;Africa;19253;8273
Serbia;Europe;8746;2720
Seychelles;Africa;46;41
Sierra Leone;Africa;7162;3044
Singapore;Asia;70;16
Slovakia;Europe;4809;1940
Slovenia;Europe;2014;1248
Solomon Islands;Australia;2799;2185
Somalia;Africa;62734;6363
South Africa;Africa;121447;9241
South Sudan;Africa;63173;7157
Spain;Europe;49880;18418
Sri Lanka;Asia;6271;2070
Sudan;Africa;186665;19210
Suriname;America;16066;15332
Svalbard and Jan Mayen;Europe;6100;0
Swaziland;Africa;1720;586
Sweden;Europe;41034;28073
Switzerland;Europe;4000;1254
Syrian Arab Republic;Asia;18363;491
Tajikistan;Asia;13894;412
Tanzania;Africa;88580;46060
Thailand;Asia;51089;16399
Timor-Leste;Asia;1487;686
Togo;Africa;5439;188
Tokelau;Australia;1;0
Tonga;Australia;72;9
Trinidad and Tobago;America;513;234
Tunisia;Africa;15536;1041
Turkey;Asia;76963;11715
Turkmenistan;Asia;46993;4127
Turks and Caicos Islands;America;43;34
Tuvalu;Australia;3;1
Uganda;Africa;19981;2077
Ukraine;Europe;57938;9657
United Arab Emirates;Asia;8360;323
United Kingdom;Europe;24193;3144
United States Virgin Islands;America;35;18
Uruguay;America;17502;1845
USA;America;916192;310095
Uzbekistan;Asia;44066;3220
Vanuatu;Australia;1219;440
Venezuela;America;88205;46683
Viet Nam;Asia;31007;14773
Wallis and Futuna Islands;Australia;14;6
Western Sahara;Africa;26600;707
Yemen;Asia;52797;549
Zambia;Africa;74339;48635
Zimbabwe;Africa;38685;14062
