Code;Country;Climate;Continent;LA;FA;OWA;FAC;PriFA;PlaFA;PlaFAC;FV;CV;MS2;MS10;FB
AFG;Afghanistan;Dry;Asia;65223;1350;29471;0;NA;NA;NA;21;NA;NA;NA;63
AGO;Angola;Tropical;Africa;124670;57856;0;-124,8;0;125;-0,6;2241;NA;NA;NA;7443
ARG;Argentina;Dry;America;273669;27112;64376;-307,2;1738;1202;17,4;2667;435;31;68;4953
AUS;Australia;Dry;Australia;768230;124751;250961;-151,6;5039;2017;39,8;NA;NA;NA;NA;NA
AUT;Austria;Temperate;Europe;8244;3869;153;3,7;114;1692;-3;1155;927;69;93;639
AZE;Azerbaijan;Dry;Asia;8266;1139;0;11,5;NA;NA;NA;149;NA;NA;NA;NA
BEN;Benin;Tropical;Africa;11062;4311;2889;-58;0;23;0,5;152;0;6;15;426
BFA;Burkina Faso;Dry;Africa;27360;5350;4795;-1,1;0;239;7,9;225;0;NA;NA;461
BGD;Bangladesh;Tropical;Asia;13017;1429;294;-2,6;411;274;1,4;86;0;26;50;177
BGR;Bulgaria;Temperate;Europe;10856;3823;22;19,8;NA;NA;0;699;315;45;94;355
BIH;Bosnia and Herzegovina;Temperate;Europe;5100;2185;549;0;2;999;0;358;135;NA;NA;190
BLR;Belarus;Cold;Europe;20748;8634;540;34,1;400;1910;15,7;1669;1116;73;100;1053
BLZ;Belize;Tropical;America;2281;1366;200;-10;599;2;0;222;NA;NA;NA;289
BOL;Bolivia;Tropical;America;108330;54764;2473;NA;36164;26;NA;4133;0;NA;NA;7426
BRA;Brazil;Tropical;America;835814;493538;39535;-2126,7;202691;7736;110,1;96745;379;NA;NA;96825
BTN;Bhutan;Temperate;Asia;3812;2755;432;9,9;413;22;0,1;510;102;48;79;455
BWA;Botswana;Dry;Africa;56673;10840;34791;-115,1;0;0;0;725;0;NA;NA;868
CAF;Central African Republic;Tropical;Africa;62298;22170;32731;-15,6;1988;2;0;3751;0;4;9;4877
CAN;Canada;Cold;America;909351;347069;40866;-48,2;205924;15784;448,2;NA;NA;NA;NA;NA
CHE;Switzerland;Temperate;Europe;4000;1254;70;4,1;40;172;0,6;442;298;62;95;241
CHL;Chile;Temperate;America;74353;17735;14645;98,9;5355;3044;53,5;3316;426;NA;NA;2487
CHN;China;Temperate;Asia;942530;208321;103637;2047,2;11632;78982;1481,3;16002;6561;16;54;10945
CIV;Cote d'Ivoire;Tropical;Africa;31800;10401;2554;NA;625;427;NA;2626;NA;NA;NA;3633
CMR;Cameroon;Tropical;Africa;47271;18816;12715;-220;NA;NA;0,5;5802;0;NA;NA;4371
COG;Congo, Rep.;Tropical;Africa;34150;22334;10479;NA;7407;71;NA;4523;NA;8;18;5880
COL;Colombia;Tropical;America;110950;58502;16352;-236,6;NA;NA;2,4;NA;NA;NA;NA;15424
CRI;Costa Rica;Tropical;America;5106;2756;8;1,1;1814;18;-39,5;696;0;NA;NA;NA
CUB;Cuba;Tropical;America;10644;3200;332;45,7;0;556;8,4;213;29;NA;NA;513
CZE;Czech Republic;Temperate;Europe;7722;2667;0;0,1;10;2643;0;791;642;76;95;657
DEU;Germany;Temperate;Europe;34861;11419;0;4,8;0;5295;-3,7;3663;2242;55;95;2053
DOM;Dominican Republic;Tropical;America;4832;1983;302;1,8;NA;119;8;119;22;NA;NA;244
DZA;Algeria;Dry;Africa;238174;1956;2569;11,6;0;556;8,9;89;30;62;74;67
ECU;Ecuador;Tropical;America;24836;12548;0;-83,3;12467;55;0,4;3013;NA;NA;NA;2382
